UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 09:01 ?        00:00:02 /sbin/init splash
root           2       0  0 09:01 ?        00:00:00 [kthreadd]
root           3       2  0 09:01 ?        00:00:00 [rcu_gp]
root           4       2  0 09:01 ?        00:00:00 [rcu_par_gp]
root           5       2  0 09:01 ?        00:00:00 [slub_flushwq]
root           6       2  0 09:01 ?        00:00:00 [netns]
root           8       2  0 09:01 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 09:01 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 09:01 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 09:01 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 09:01 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 09:01 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 09:01 ?        00:00:00 [rcu_preempt]
root          16       2  0 09:01 ?        00:00:00 [migration/0]
root          17       2  0 09:01 ?        00:00:00 [idle_inject/0]
root          18       2  0 09:01 ?        00:00:01 [kworker/0:1-events]
root          19       2  0 09:01 ?        00:00:00 [cpuhp/0]
root          20       2  0 09:01 ?        00:00:00 [cpuhp/1]
root          21       2  0 09:01 ?        00:00:00 [idle_inject/1]
root          22       2  0 09:01 ?        00:00:00 [migration/1]
root          23       2  0 09:01 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 09:01 ?        00:00:00 [kworker/1:0H-kblockd]
root          26       2  0 09:01 ?        00:00:00 [kdevtmpfs]
root          27       2  0 09:01 ?        00:00:00 [inet_frag_wq]
root          28       2  0 09:01 ?        00:00:00 [kauditd]
root          29       2  0 09:01 ?        00:00:00 [khungtaskd]
root          31       2  0 09:01 ?        00:00:00 [oom_reaper]
root          33       2  0 09:01 ?        00:00:00 [writeback]
root          34       2  0 09:01 ?        00:00:00 [kcompactd0]
root          35       2  0 09:01 ?        00:00:00 [ksmd]
root          36       2  0 09:01 ?        00:00:00 [khugepaged]
root          37       2  0 09:01 ?        00:00:00 [kintegrityd]
root          38       2  0 09:01 ?        00:00:00 [kblockd]
root          39       2  0 09:01 ?        00:00:00 [blkcg_punt_bio]
root          40       2  0 09:01 ?        00:00:00 [tpm_dev_wq]
root          41       2  0 09:01 ?        00:00:00 [ata_sff]
root          42       2  0 09:01 ?        00:00:00 [md]
root          43       2  0 09:01 ?        00:00:00 [edac-poller]
root          44       2  0 09:01 ?        00:00:00 [devfreq_wq]
root          45       2  0 09:01 ?        00:00:00 [watchdogd]
root          46       2  0 09:01 ?        00:00:00 [kworker/0:1H-kblockd]
root          47       2  0 09:01 ?        00:00:00 [kworker/1:1-events]
root          48       2  0 09:01 ?        00:00:00 [kswapd0]
root          49       2  0 09:01 ?        00:00:00 [ecryptfs-kthread]
root          55       2  0 09:01 ?        00:00:00 [kthrotld]
root          60       2  0 09:01 ?        00:00:00 [acpi_thermal_pm]
root          61       2  0 09:01 ?        00:00:00 [xenbus_probe]
root          62       2  0 09:01 ?        00:00:00 [scsi_eh_0]
root          63       2  0 09:01 ?        00:00:00 [scsi_tmf_0]
root          64       2  0 09:01 ?        00:00:00 [scsi_eh_1]
root          65       2  0 09:01 ?        00:00:00 [scsi_tmf_1]
root          66       2  0 09:01 ?        00:00:00 [vfio-irqfd-clea]
root          68       2  0 09:01 ?        00:00:00 [mld]
root          69       2  0 09:01 ?        00:00:00 [ipv6_addrconf]
root          74       2  0 09:01 ?        00:00:00 [kstrp]
root          80       2  0 09:01 ?        00:00:00 [kworker/1:1H-kblockd]
root          81       2  0 09:01 ?        00:00:00 [zswap-shrink]
root          82       2  0 09:01 ?        00:00:00 [kworker/u5:0]
root         128       2  0 09:01 ?        00:00:00 [charger_manager]
root         169       2  0 09:01 ?        00:00:00 [scsi_eh_2]
root         170       2  0 09:01 ?        00:00:00 [scsi_tmf_2]
root         197       2  0 09:01 ?        00:00:00 [jbd2/sda3-8]
root         198       2  0 09:01 ?        00:00:00 [ext4-rsv-conver]
root         237       1  0 09:01 ?        00:00:00 /lib/systemd/systemd-journald
